,experiment,hour,device_make,yes,day,platform_os_5.0,platform_os_6.0
2574,1,22,13,0,0,0,1
2585,1,20,54,1,0,0,1
2589,0,15,13,1,6,0,1
2592,0,9,13,1,5,0,1
2598,1,1,13,1,0,0,1
2600,1,17,13,0,2,0,1
2602,0,7,68,0,0,0,1
2606,1,6,27,0,4,0,1
2610,1,3,13,0,4,0,1
2614,1,9,13,1,6,0,1
2620,1,2,61,0,2,0,1
2625,0,8,46,1,0,0,1
2630,0,7,114,0,0,1,0
2631,0,7,114,0,0,1,0
2637,1,17,13,0,1,0,1
2647,0,22,72,1,6,0,1
2656,0,11,13,0,2,0,1
2660,0,7,13,0,0,0,1
2665,1,8,13,0,4,0,1
2674,1,11,68,1,5,0,1
2675,1,21,13,0,0,0,1
2681,1,8,75,1,4,0,1
2711,1,8,13,0,4,0,1
2720,0,7,13,0,0,0,1
2722,0,7,13,1,0,0,1
2731,1,23,27,1,3,0,1
2732,1,0,25,0,5,0,1
2734,1,20,13,1,1,0,1
2735,0,7,13,0,0,0,1
2744,1,2,13,1,1,0,1
2745,1,20,13,1,1,0,1
2766,1,19,13,1,0,0,1
2771,0,7,13,0,0,0,1
2778,0,7,13,0,0,0,1
2779,0,7,71,1,0,0,1
2789,1,5,13,1,3,0,1
2791,0,17,13,0,5,0,1
2799,0,5,13,0,2,0,1
2813,1,23,13,0,0,0,1
2819,0,0,105,0,1,0,1
2822,1,3,13,1,3,0,1
2826,1,4,13,0,4,0,1
2827,0,6,13,0,6,0,1
2831,1,16,13,1,2,0,1
2847,0,1,13,1,4,0,1
2854,0,7,46,1,0,0,1
2856,0,7,13,1,0,0,1
2863,1,6,13,0,0,0,1
2874,0,2,72,0,4,0,1
2880,1,22,68,0,3,0,1
2895,1,10,13,0,5,0,1
2904,1,6,13,1,6,0,1
2910,0,7,13,0,0,0,1
2915,0,3,13,1,3,0,1
2918,0,7,13,1,0,0,1
2921,1,21,13,1,4,0,1
2925,1,14,21,1,6,0,1
2928,1,7,42,0,3,0,1
2931,1,9,13,0,4,0,1
2938,0,6,13,0,0,0,1
2945,1,21,94,0,6,0,1
2947,1,7,13,1,6,0,1
2948,0,11,13,0,6,0,1
2951,0,7,13,1,0,0,1
2952,1,7,13,0,6,0,1
2958,1,23,13,1,5,0,1
2961,1,15,13,1,5,0,1
2973,1,17,72,0,5,0,1
2976,0,7,72,1,0,0,1
2978,0,23,13,0,4,0,1
2981,0,8,47,1,6,0,1
2984,0,17,13,0,2,0,1
2988,1,10,13,0,6,0,1
2989,1,3,13,0,0,0,1
2994,1,15,68,0,6,0,1
