,experiment,hour,device_make,yes,day,browser_Chrome,browser_Chrome Mobile,browser_Chrome Mobile WebView,browser_Chrome Mobile iOS,browser_Facebook,browser_Mobile Safari,browser_Mobile Safari UI/WKWebView,browser_Samsung Internet
1664,1,6,13,1,4,0,1,0,0,0,0,0,0
1678,0,23,13,0,2,0,1,0,0,0,0,0,0
1684,0,20,13,0,2,0,1,0,0,0,0,0,0
1685,0,12,13,1,2,0,1,0,0,0,0,0,0
1689,0,17,13,0,0,0,1,0,0,0,0,0,0
1709,1,5,13,0,4,0,0,0,0,1,0,0,0
1710,1,4,13,0,3,0,1,0,0,0,0,0,0
1727,1,11,68,1,6,0,0,0,0,0,0,0,1
1728,0,20,13,0,5,0,1,0,0,0,0,0,0
1750,0,7,13,1,0,0,0,0,0,1,0,0,0
1754,1,13,94,0,5,0,0,1,0,0,0,0,0
1763,0,20,13,1,0,0,1,0,0,0,0,0,0
1766,1,7,66,1,3,0,0,1,0,0,0,0,0
1768,1,11,13,1,2,0,1,0,0,0,0,0,0
1782,1,23,13,1,0,0,1,0,0,0,0,0,0
1783,1,3,13,0,4,0,1,0,0,0,0,0,0
1788,0,12,13,0,1,0,0,0,0,1,0,0,0
1795,1,1,17,0,0,0,1,0,0,0,0,0,0
1796,0,22,60,0,3,0,0,0,0,0,0,0,1
1806,1,17,13,0,1,0,1,0,0,0,0,0,0
1815,0,17,82,0,5,0,0,0,0,1,0,0,0
1832,0,10,13,0,6,0,1,0,0,0,0,0,0
1835,1,8,42,0,6,0,0,1,0,0,0,0,0
1840,0,10,13,0,6,0,1,0,0,0,0,0,0
1841,1,7,13,0,6,0,0,1,0,0,0,0,0
1845,0,7,55,1,0,0,0,0,0,1,0,0,0
1846,0,0,26,1,0,0,1,0,0,0,0,0,0
1862,1,18,73,0,4,0,0,1,0,0,0,0,0
1867,1,0,13,0,0,0,1,0,0,0,0,0,0
1871,0,19,13,0,3,0,1,0,0,0,0,0,0
1872,1,20,5,1,0,0,0,1,0,0,0,0,0
1879,1,1,13,0,1,0,1,0,0,0,0,0,0
1880,1,21,13,0,0,0,1,0,0,0,0,0,0
1881,0,6,13,0,2,0,1,0,0,0,0,0,0
1884,1,17,71,1,1,0,0,0,0,0,0,0,1
1893,1,21,13,0,0,0,1,0,0,0,0,0,0
1894,1,1,81,0,0,0,0,0,0,0,0,0,1
1907,1,2,13,1,4,0,1,0,0,0,0,0,0
1915,1,21,13,0,2,0,1,0,0,0,0,0,0
1935,0,2,19,0,4,0,0,0,0,1,0,0,0
1943,0,7,33,1,0,0,0,0,0,1,0,0,0
1952,0,22,13,0,4,0,1,0,0,0,0,0,0
1966,0,2,12,0,0,0,0,0,0,1,0,0,0
1967,1,2,72,0,0,0,0,0,0,0,0,0,1
1972,0,2,13,1,3,0,1,0,0,0,0,0,0
1977,1,22,73,1,0,0,0,1,0,0,0,0,0
1978,0,7,13,1,0,0,1,0,0,0,0,0,0
1979,0,7,66,1,0,0,0,0,0,1,0,0,0
1988,0,10,79,0,3,0,1,0,0,0,0,0,0
1990,0,13,71,1,2,0,0,0,0,1,0,0,0
1994,1,9,13,0,3,0,1,0,0,0,0,0,0
2004,1,6,13,1,2,0,1,0,0,0,0,0,0
2018,0,2,13,0,5,0,1,0,0,0,0,0,0
2020,1,22,13,0,4,0,1,0,0,0,0,0,0
2022,1,20,68,1,4,0,0,0,0,0,0,0,1
2040,0,21,13,0,6,0,1,0,0,0,0,0,0
2046,1,14,113,1,4,0,0,1,0,0,0,0,0
2051,1,5,13,1,6,0,1,0,0,0,0,0,0
2054,0,22,13,1,2,0,1,0,0,0,0,0,0
2057,1,19,13,0,4,0,1,0,0,0,0,0,0
2068,1,11,13,0,6,0,1,0,0,0,0,0,0
2077,0,6,13,0,4,0,1,0,0,0,0,0,0
2083,0,19,13,0,3,0,1,0,0,0,0,0,0
2087,1,20,13,1,4,0,1,0,0,0,0,0,0
2092,1,5,66,0,2,0,0,0,0,1,0,0,0
2115,0,3,13,1,4,0,1,0,0,0,0,0,0
2116,0,7,13,1,0,0,1,0,0,0,0,0,0
